year,yday,prcp (mm/day),tmax (deg c),tmin (deg c)
2018,212,0,38.04,21.72
2018,213,0,37.91,22.2
2018,214,0,36.21,22.32
2018,215,0,37.07,21.27
2018,216,0,36.3,19.99
2018,217,0,36.92,19.35
2018,218,0,40.08,20.22
2018,219,0,39.41,22.07
2018,220,0,36.86,20.71
2018,221,0,39.8,20.71
2018,222,0,35.73,22.74
2018,223,0,34.81,20.95
2018,224,0,34.46,21.49
2018,225,0,33.47,19.53
2018,226,0,33.09,18.88
2018,227,0,33.59,19.25
2018,228,0,33.87,20.5
2018,229,0,34.72,20.89
2018,230,0,34.18,20.48
2018,231,0,34.68,19.89
2018,232,0,33.29,19.99
2018,233,0,32.99,19.56
2018,234,0,33.8,19.59
2018,235,0,33.21,18.75
2018,236,0,31.88,17.73
2018,237,0,31.6,17.79
2018,238,0,31.82,17.94
2018,239,0,31.2,17.05
2018,240,0,31.41,16.72
2018,241,0,33.96,17.41
2018,242,0,35.17,16.42
2018,243,0,33.38,15.96
2018,244,0,29.99,16.86
2018,245,0,28.83,18.15
2018,246,0,30.55,19.44
2018,247,0,30.71,18.8
2018,248,0,31.47,17.78
2018,249,0,31.54,16.67
2018,250,0,35.15,17.01
2018,251,0,37.94,19.11
2018,252,0,37.83,18.39
2018,253,0,34.26,16.8
2018,254,0,31.49,16.52
2018,255,0,31.7,16.78
2018,256,0,34.82,15.87
2018,257,0,37.06,16.71
2018,258,0,34.59,16.64
2018,259,0,33.84,16.42
2018,260,0,34.2,15.45
2018,261,0,32.83,14.22
2018,262,0,31.82,13.4
2018,263,0,31.93,15.55
2018,264,0,32.27,16
2018,265,0,36.02,17.34
2018,266,0,31.77,17.33
2018,267,0,28.11,15.7
2018,268,0,27.89,16.43
2018,269,0,33.38,15.59
2018,270,0,36.86,17.54
2018,271,0,32.01,16.71
2018,272,0,31.64,16.66
2018,273,0,33.91,15.83
2018,274,0,34.31,18.23
2018,275,0,30.22,19.72
2018,276,0,26.71,18.34
2018,277,0,26.54,17.27
2018,278,0,27.45,16.93
2018,279,0,23.98,15.42
2018,280,0,26.47,14.7
2018,281,0,26.97,15.06
2018,282,0,26.45,14.19
2018,283,0,25.1,14.77
2018,284,0,25.31,14.84
2018,285,15.13,31.35,13.02
2018,286,2.85,19.08,16.26
2018,287,0,24.08,15.46
2018,288,0,25.56,14.38
2018,289,0,28.75,11.48
2018,290,0,29.48,11.77
2018,291,0,31.79,12.52
2018,292,0,32.43,14.37
2018,293,0,32.97,14.2
2018,294,0,29.38,13.81
2018,295,0,27.2,13.51
2018,296,0,28.25,14.16
2018,297,0,28.73,13.63
2018,298,0,29.42,13.83
2018,299,0,33.57,14.67
2018,300,0,33.34,14.9
2018,301,0,30.91,14.1
2018,302,0,28.21,12.51
2018,303,0,26.38,13.46
2018,304,0,28.65,13.16
2018,305,0,30.65,13.2
2018,306,0,33.01,14.34
2018,307,0,32.59,13.79
2018,308,0,30.9,13.62
2018,309,0,27.44,11.45
2018,310,0,25.24,13.74
2018,311,0,23.24,13.25
2018,312,0,27.27,13.13
2018,313,0,27.29,10.98
2018,314,0,26.33,7.88
2018,315,0,25.68,7.51
2018,316,0,25.31,10.17
2018,317,0,25.23,10.99
2018,318,0,27.31,11.83
2018,319,0,27.69,9.8
2018,320,0,26.03,9.93
2018,321,0,23.76,8.47
2018,322,0,25.84,9.39
2018,323,0,24.92,9.88
2018,324,0,23.52,8.49
2018,325,6.47,22.61,8.17
2018,326,0,19.72,11.94
2018,327,0,19.38,10.19
2018,328,0,20.86,9.84
2018,329,0,25.17,9.33
2018,330,0,25.95,11.02
2018,331,0,25.16,9.7
2018,332,5.72,20.88,7.91
2018,333,20.28,16.59,10.91
2018,334,0,18.6,10.51
2018,335,0,18.12,7.79
2018,336,0,17.99,6.14
2018,337,0,20.55,6.62
